date,hour,type,dongsi
20131228,0,PM2.5,
20131228,0,AQI,
20131228,1,PM2.5,
20131228,1,AQI,
20131228,2,PM2.5,
20131228,2,AQI,
20131228,3,PM2.5,
20131228,3,AQI,
20131228,4,PM2.5,
20131228,4,AQI,
20131228,5,PM2.5,
20131228,5,AQI,
20131228,6,PM2.5,
20131228,6,AQI,
20131228,7,PM2.5,
20131228,7,AQI,
20131228,8,PM2.5,
20131228,8,AQI,
20131228,9,PM2.5,
20131228,9,AQI,
20131228,10,PM2.5,
20131228,10,AQI,
20131228,11,PM2.5,8
20131228,11,AQI,30
20131228,12,PM2.5,14
20131228,12,AQI,30
20131228,13,PM2.5,15
20131228,13,AQI,30
20131228,14,PM2.5,9
20131228,14,AQI,29
20131228,15,PM2.5,23
20131228,15,AQI,29
20131228,16,PM2.5,11
20131228,16,AQI,29
20131228,17,PM2.5,13
20131228,17,AQI,29
20131228,18,PM2.5,13
20131228,18,AQI,28
20131228,19,PM2.5,33
20131228,19,AQI,34
20131228,20,PM2.5,31
20131228,20,AQI,29
20131228,21,PM2.5,35
20131228,21,AQI,34
20131228,22,PM2.5,37
20131228,22,AQI,37
20131228,23,PM2.5,48
20131228,23,AQI,40
