date,hour,type,dongsi
20150116,0,PM2.5,451.2
20150116,0,AQI,380
20150116,1,PM2.5,442
20150116,1,AQI,387
20150116,2,PM2.5,438.6
20150116,2,AQI,394
20150116,3,PM2.5,427.5
20150116,3,AQI,401
20150116,4,PM2.5,257.3
20150116,4,AQI,401
20150116,5,PM2.5,68.8
20150116,5,AQI,392
20150116,6,PM2.5,9.9
20150116,6,AQI,381
20150116,7,PM2.5,3
20150116,7,AQI,371
20150116,8,PM2.5,9
20150116,8,AQI,362
20150116,9,PM2.5,6.8
20150116,9,AQI,354
20150116,10,PM2.5,12.3
20150116,10,AQI,345
20150116,11,PM2.5,13.5
20150116,11,AQI,333
20150116,12,PM2.5,10.6
20150116,12,AQI,322
20150116,13,PM2.5,6.8
20150116,13,AQI,311
20150116,14,PM2.5,11.1
20150116,14,AQI,293
20150116,15,PM2.5,7.8
20150116,15,AQI,275
20150116,16,PM2.5,5.1
20150116,16,AQI,259
20150116,17,PM2.5,5.8
20150116,17,AQI,243
20150116,18,PM2.5,8.7
20150116,18,AQI,228
20150116,19,PM2.5,8.3
20150116,19,AQI,211
20150116,20,PM2.5,8.3
20150116,20,AQI,192
20150116,21,PM2.5,8.4
20150116,21,AQI,170
20150116,22,PM2.5,9.9
20150116,22,AQI,146
20150116,23,PM2.5,10.9
20150116,23,AQI,123
